,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
475,Really enjoyed this video! Great info!,UgzF08X6Btjs4YK_p2p4AaABAg,http://www.youtube.com/channel/UCiT9RITQ9PW6BhXK0y2jaeg,Ken Jee,1,0,2020-08-17 22:53:44+00:00,vaD3ZFFNwhM,1,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-17
476,"Hi Tina, thanks for your videos. I’m thinking about the online MCIT. Could you please shed some light on that course. Is it possible to enter into the industry with online degree? Thanks",UgwBmze2LXrJt239q9R4AaABAg,http://www.youtube.com/channel/UCGUKD4-qWx4ML5hBr3EB9ww,Tasnia Nowrin,1,0,2020-08-16 21:51:09+00:00,Rx1i1J4m4MQ,1,How I got Software Engineering and Data Science Internships | Computer Science Job Search Part 1,2020-08-16
477,Gracias por los consejos. Saludos desde México.,UgyfT_6o6WYPaWHPh6l4AaABAg,http://www.youtube.com/channel/UC3rQ9RvzG2WxVLa7RaeOiMA,Carlos Garcia,0,0,2020-08-16 00:30:54+00:00,JUkSeqe1eYQ,0,How To Choose Between Software Engineering And Data Science? | 5 Key Considerations,2020-08-16
478,"So, they ask this simple SQL questions on DS interview? I mean, I find it relatively easier. Maybe data scientist doesnt need that much skills on SQL... whats your thought on this?",Ugz-3TSr0KOk5g-C1_d4AaABAg,http://www.youtube.com/channel/UCzopgJEvzDj4dA8F8VkqH2Q,DeepFake Vasmoy,2,3,2020-08-15 22:00:19+00:00,vaD3ZFFNwhM,2,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-15
479,It is very helpful!,UgwZybM0UD4GHVn-O6B4AaABAg,http://www.youtube.com/channel/UCfMuD-Vh-TVcxB8xn9LFdnQ,crystal liu,1,0,2020-08-14 16:52:28+00:00,vaD3ZFFNwhM,1,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-14
480,Congratulations! I’m in the Online MCIT program. I also make videos about MCIT. It’s nice to hear about your experience and I look forward to what’s next for you. Keep it up👍🏼,UgxHra2rKkUhm9WW9zZ4AaABAg,http://www.youtube.com/channel/UCjk3q6_JrHveu8SyT1legmg,Cedric Vicera,1,1,2020-08-14 08:36:33+00:00,KsQU_3n0IYE,1,My UPenn MCIT Experience,2020-08-14
481,"""My motto is to minimize effort and maximize outcome"" hahaha some things never change",UgxJ1_be881tSYlfr-p4AaABAg,http://www.youtube.com/channel/UCEDwKwLOQK3diDgbZYNso3g,Stephen Wu,1,7,2020-08-12 23:09:12+00:00,vaD3ZFFNwhM,1,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-12
482,Hi friends! I really hope you find this video helpful :D  Let me know what you think about my SQL prep strategy!,UgwjL6AP6A5g-TKZvs14AaABAg,http://www.youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,0,9,2020-08-12 17:11:47+00:00,vaD3ZFFNwhM,0,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-12
483,You are the best!!!!!,UgyubIZQzHTn-jrKuJN4AaABAg,http://www.youtube.com/channel/UCSvIfiM11taOLQTA00l1tbQ,xueyuan yu,1,0,2020-08-12 16:44:06+00:00,vaD3ZFFNwhM,1,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-12
484,Nice background change :))),UgwWYFq1urpEjv1AmbR4AaABAg,http://www.youtube.com/channel/UCGr65O0GnTxsynaXZULN9SA,Rachel Castellino,2,1,2020-08-12 16:16:21+00:00,vaD3ZFFNwhM,2,How I Learned SQL from Scratch in 11 Days for FANG Data Science Interview (includes interview demo),2020-08-12
